"TicketID","Name","UserType","PriorityStatus","CreatedDate","Status","SolutionText","ResolvedText","Phone","Email"
"TK-24111501","","agent","Normal","2024-11-14T21:46:00.420Z","underreview","","","",""
"TK-24111502","","agent","Urgent","2024-11-14T21:46:33.963Z","underreview","","","",""
"TK-24111503","Gaurav","agent","Normal","2024-11-14T21:51:01.145Z","resolved","","","919431697649","minhazashraf469@gmail.com"
"TK-24111504","Gaurav","agent","Urgent","2024-11-14T22:05:52.964Z","underreview","","","919431697649","minhazashraf469@gmail.com"
"TK-24112301","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:34.847Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112302","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:37.339Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112303","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:39.794Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112304","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:42.251Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112305","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:44.708Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112306","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:47.174Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112307","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:49.628Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112308","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:52.075Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112309","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:54.525Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112310","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:56.983Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112311","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:10:59.427Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112312","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:11:01.873Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112313","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:11:04.330Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112314","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:11:06.767Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112315","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:11:09.239Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112316","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:12:37.533Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112317","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:12:39.971Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112318","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:12:42.406Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112319","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:12:44.850Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112320","dfssdf fdsfsdf","student","Urgent","2024-11-23T13:12:47.276Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112321","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:14.745Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112322","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:17.229Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112323","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:19.686Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112324","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:22.147Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112325","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:24.612Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112326","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:27.398Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112327","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:29.870Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112328","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:32.474Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112329","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:34.978Z","resolved","","kdfshdfkjsfh","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112330","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:37.440Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112331","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:39.890Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112332","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:42.338Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112333","dfssdf fdsfsdf","student","Normal","2024-11-23T13:15:44.892Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
"TK-24112334","dfssdf fdsfsdf","student","Normal","2024-11-23T13:17:17.508Z","underreview","","","{ code: '91', number: '914145445654' }","maxjhonson738@gmail.com"
